emoji,description
👩‍👦‍👦,"family: woman, boy, boy. family: woman, boy, boy. family, boy, woman. Primary social group; parents and children"
🦃,turkey. turkey. turkey. Warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
🦂,"scorpion. scorpion. scorpio, zodiac, scorpius. Animals are multicellular, eukaryotic organisms of the kingdom Animalia."
💇🏾‍♂️,"man getting haircut: medium-dark skin tone. man getting haircut: medium-dark skin tone. medium-dark skin tone, man, haircut. Way hair is cut."
🦁,"lion face. lion face. lion, face, zodiac, leo. Leo is the fifth astrological sign of the zodiac, originating from the constellation of Leo."
👨‍🔬,"man scientist. man scientist. mathematician, engineer, physicist, chemist, biologist, scientist, man. Professional practitioner of engineering"
🦀,"crab. crab. cancer, zodiac. Animals are multicellular, eukaryotic organisms of the kingdom Animalia."
👨🏽‍⚖️,"man judge: medium skin tone. man judge: medium skin tone. justice, scales, medium skin tone, man. Judges are officials who presides over a court of law, either alone or as part of a panel, and make determinations about the applicability of the law to the facts presented."
👨‍🔧,"man mechanic. man mechanic. electrician, tradesperson, plumber, mechanic, man. A skilled worker capable of building or repairing machinery. A mechanic can be compared to a technician, the distinction being that the technician is stronger in theory, the mechanic stronger in hands-on experience."
👩‍👧,"family: woman, girl. family: woman, girl. family, woman, girl. Primary social group; parents and children"
👩‍👦,"family: woman, boy. family: woman, boy. family, boy, woman. Primary social group; parents and children"
👩🏾‍🔬,"woman scientist: medium-dark skin tone. woman scientist: medium-dark skin tone. mathematician, engineer, medium-dark skin tone, woman, physicist, chemist, biologist, scientist. A woman is a female human."
👩🏾‍🔧,"woman mechanic: medium-dark skin tone. woman mechanic: medium-dark skin tone. electrician, tradesperson, plumber, medium-dark skin tone, woman, mechanic. A woman is a female human."
🙋🏼‍♀️,"woman raising hand: medium-light skin tone. woman raising hand: medium-light skin tone. medium-light skin tone, gesture, woman, raising hand. A woman is a female human."
🥞,"pancakes. pancakes. pancake, hotcake, food, crêpe. Very thin pancake."
🥝,"kiwi fruit. kiwi fruit. fruit, kiwi, food. The ripened reproductive body of a seed plant"
🥜,"peanuts. peanuts. vegetable, peanut, nut, food. Usually large hard-shelled seed"
🥛,"glass of milk. glass of milk. drink, glass, milk. A white nutritious liquid secreted by mammals and used as food by human beings"
🚵‍♂️,"man mountain biking. man mountain biking. bicycle, cyclist, bike, mountain, man. Off-road cycling using a mountain bike"
🥚,"egg. egg. egg, food. Animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds"
🥙,"stuffed flatbread. stuffed flatbread. stuffed, falafel, gyro, flatbread, kebab, food. Variety of skewered meals originating in the Middle East"
🥘,"shallow pan of food. shallow pan of food. shallow, pan, paella, food, casserole. Saffron-flavored dish made of rice with shellfish and chicken"
🥗,"green salad. green salad. salad, green, food. A garden salad is a salad consisting mostly of fresh vegetables."
🥖,"baguette bread. baguette bread. french, bread, baguette, food. Narrow French stick loaf"
🥕,"carrot. carrot. carrot, vegetable, food. A yellow-orange, longish-rounded root vegetable, which is eaten raw or boiled."
🥔,"potato. potato. vegetable, potato, food. A tuberous plant, Solanum tuberosum, often eaten as a starchy vegetable, particularly in the Americas and Europe."
🥓,"bacon. bacon. bacon, meat, food. The edible flesh of animals, especially that of mammals."
🥒,"cucumber. cucumber. vegetable, cucumber, pickle, food. A vine in the gourd family, Cucumis sativus."
🥑,"avocado. avocado. fruit, avocado, food. A pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed"
💆🏼‍♀️,"woman getting massage: medium-light skin tone. woman getting massage: medium-light skin tone. medium-light skin tone, woman, face, massage. A woman is a female human."
🥐,"croissant. croissant. french, bread, crescent roll, croissant, food. A staple food prepared by cooking a dough of flour and water and possibly more ingredients"
🥋,"martial arts uniform. martial arts uniform. uniform, martial arts, taekwondo, judo, karate. If practiced in a manner which emphasizes self-defense."
🥊,"boxing glove. boxing glove. boxing, glove. Boxing gloves are cushioned gloves that fighters wear on their hands during boxing matches."
👩🏿‍✈️,"woman pilot: dark skin tone. woman pilot: dark skin tone. dark skin tone, plane, woman, pilot. A woman is a female human."
🙎🏽‍♂️,"man pouting: medium skin tone. man pouting: medium skin tone. pouting, gesture, medium skin tone, man. Sexual maturity is the age or stage when an organism can reproduce."
🥉,"3rd place medal. 3rd place medal. bronze, third, medal. A copper alloy, usually with tin as the main additive, but sometimes with other elements such as phosphorus, manganese, aluminium, or silicon. (source: Wikipedia)"
🥈,"2nd place medal. 2nd place medal. second, medal, silver. A medal, or medallion, is, strictly speaking, a small, flat, and round piece of metal that has been sculpted, molded, cast, struck, stamped, or some way marked with an insignia, portrait, or other artistic rendering."
🥇,"1st place medal. 1st place medal. gold, medal, first. The first or highest in an ordering or series"
🥅,"goal net. goal net. goal, net"
🥄,"spoon. spoon. tableware, spoon. Scooped utensil for eating (or serving)."
🥃,"tumbler glass. tumbler glass. whisky, liquor, shot, tumbler, glass. A traditional English folk-song"
🥂,"clinking glasses. clinking glasses. celebrate, drink, clink, glass. Any drinkable liquid; a beverage."
🥁,"drum. drum. drum, drumsticks, music. Someone who is passionate about music."
🥀,"wilted flower. wilted flower. wilted, flower. The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle."
⛹🏿,"person bouncing ball: dark skin tone. person bouncing ball: dark skin tone. dark skin tone, ball. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
⛹🏾,"person bouncing ball: medium-dark skin tone. person bouncing ball: medium-dark skin tone. medium-dark skin tone, ball. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
⛹🏽,"person bouncing ball: medium skin tone. person bouncing ball: medium skin tone. ball, medium skin tone. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🤾,"person playing handball. person playing handball. ball, handball. A testicle of a vertebrate"
⛹🏼,"person bouncing ball: medium-light skin tone. person bouncing ball: medium-light skin tone. medium-light skin tone, ball. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🤽,"person playing water polo. person playing water polo. water, polo. Chemical compound formed of molecules composed of two atoms of hydrogen and one of oxygen"
⛹🏻,"person bouncing ball: light skin tone. person bouncing ball: light skin tone. light skin tone, ball. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🤼,"people wrestling. people wrestling. wrestler, wrestle. A close hand-to-hand struggle."
🤺,"person fencing. person fencing. sword, fencing, fencer. The art or sport of duelling with swords, especially the style that originated in Europe."
🕵🏿‍♀️,"woman detective: dark skin tone. woman detective: dark skin tone. dark skin tone, sleuth, spy, woman, detective"
🤹,"person juggling. person juggling. skill, multitask, juggle, balance. A skill is the learned ability to carry out a task with pre-determined results often within a given amount of time, energy, or both."
🤸,"person cartwheeling. person cartwheeling. gymnastics, cartwheel. A sport that involves exercises intended to display strength and balance and agility"
👯‍♂️,"men with bunny ears partying. men with bunny ears partying. bunny ear, partying, men, dancer. A social gathering"
🤷,"person shrugging. person shrugging. indifference, shrug, ignorance, doubt. A gesture involving the shoulders"
🤶,"Mrs. Claus. Mrs. Claus. claus, mother, mrs., celebration, christmas. Christmas is an annual commemoration of the birth of Jesus Christ and a widely observed cultural holiday, celebrated generally on December 25 by billions of people around the world."
🤵,"man in tuxedo. man in tuxedo. tuxedo, man, groom. Sexual maturity is the age or stage when an organism can reproduce."
🤴,prince. prince. prince. Male ruler or head of a principality.
🤳,"selfie. selfie. selfie, phone, camera. A digital video device that is used for recording moving images and audio in a digital format."
🏌🏼‍♂️,"man golfing: medium-light skin tone. man golfing: medium-light skin tone. medium-light skin tone, golf, man"
🤰,"pregnant woman. pregnant woman. woman, pregnant. The normal location for a pregnancy to occur"
👳‍♀️,"woman wearing turban. woman wearing turban. turban, woman. A woman is a female human."
🙅🏿‍♂️,"man gesturing NO: dark skin tone. man gesturing NO: dark skin tone. dark skin tone, hand, forbidden, gesture, prohibited, no, man. That part of the fore limb below the forearm or wrist in primates (including humans)."
💂🏿‍♂️,"man guard: dark skin tone. man guard: dark skin tone. dark skin tone, guard, man. Sexual maturity is the age or stage when an organism can reproduce."
🤧,"sneezing face. sneezing face. sneeze, gesundheit, face. Part of the body at the front of the head"
🤦,"person facepalming. person facepalming. exasperation, disbelief, face, palm. Part of the body at the front of the head"
🤥,"lying face. lying face. lie, face, pinocchio. Part of the body at the front of the head"
🤤,"drooling face. drooling face. drooling, face. Saliva trickling from the mouth"
🤣,"rolling on the floor laughing. rolling on the floor laughing. laugh, rolling, floor, face. Internet slang"
🤢,"nauseated face. nauseated face. nauseated, face, vomit. Part of the body at the front of the head"
🏃‍♂️,"man running. man running. racing, running, marathon, man. Any long and arduous undertaking"
🤡,"clown face. clown face. face, clown. A person who amuses others by ridiculous behavior"
🤠,"cowboy hat face. cowboy hat face. cowgirl, hat, face, cowboy. Part of the body at the front of the head"
🤸🏼‍♂️,"man cartwheeling: medium-light skin tone. man cartwheeling: medium-light skin tone. gymnastics, medium-light skin tone, cartwheel, man. A sport that involves exercises intended to display strength and balance and agility"
🤞,"crossed fingers. crossed fingers. luck, hand, finger, cross. One of the long extremities of the hand, sometimes excluding the thumb."
🏌️‍♂️,"man golfing. man golfing. golf, man. Playing golf"
🤝,"handshake. handshake. hand, shake, agreement, meeting, handshake. A handshake is a short ritual in which two people grasp one of each other's like hands, in most cases accompanied by a brief up and down movement of the grasped hands."
🤜,"right-facing fist. right-facing fist. fist, rightwards. The raised fist is a symbol of solidarity and support."
🤛,"left-facing fist. left-facing fist. leftwards, fist. The raised fist is a symbol of solidarity and support."
🤚,"raised back of hand. raised back of hand. backhand, raised. A return made with the back of the hand facing the direction of the stroke"
👨🏽‍🏭,"man factory worker: medium skin tone. man factory worker: medium skin tone. industrial, factory, assembly, worker, medium skin tone, man. A member of the working class (not necessarily employed)"
💆‍♂️,"man getting massage. man getting massage. face, massage, man. Part of the body at the front of the head"
👨🏽‍🏫,"man teacher: medium skin tone. man teacher: medium skin tone. instructor, professor, teacher, medium skin tone, man. A person who, or a thing which, educates"
🏃🏾‍♂️,"man running: medium-dark skin tone. man running: medium-dark skin tone. racing, running, medium-dark skin tone, marathon, man. Any long and arduous undertaking"
🤙,"call me hand. call me hand. hand, call. A connection established over a telephone network between two parties."
🤘,"sign of the horns. sign of the horns. hand, horns, finger, rock-on. A look that is believed by many cultures to be able to cause injury or bad luck for the person at whom it is directed"
🤗,"hugging face. hugging face. hug, face, hugging. Part of the body at the front of the head"
🤖,"robot face. robot face. monster, face, robot. Part of the body at the front of the head"
🤕,"face with head-bandage. face with head-bandage. hurt, bandage, face, injury. Harm is a moral and legal concept encompassing anything that causes injury, damage, or loss."
🤔,"thinking face. thinking face. thinking, face. Part of the body at the front of the head"
🤓,"nerd face. nerd face. face, geek, nerd. Part of the body at the front of the head"
🤒,"face with thermometer. face with thermometer. thermometer, ill, sick, face. Inflammation of nose and pharynx."
🤑,"money-mouth face. money-mouth face. mouth, money, face. Part of the body at the front of the head"
🤐,"zipper-mouth face. zipper-mouth face. zipper, mouth, face. Part of the body at the front of the head"
👱🏼‍♀️,"blond-haired woman: medium-light skin tone. blond-haired woman: medium-light skin tone. medium-light skin tone, woman, blonde. A woman is a female human."
👩🏽‍⚕️,"woman health worker: medium skin tone. woman health worker: medium skin tone. doctor, nurse, healthcare, woman, therapist, medium skin tone. A woman is a female human."
🤽🏾‍♀️,"woman playing water polo: medium-dark skin tone. woman playing water polo: medium-dark skin tone. medium-dark skin tone, woman, water polo. A woman is a female human."
🚶🏻‍♂️,"man walking: light skin tone. man walking: light skin tone. walk, light skin tone, hike, man. Sexual maturity is the age or stage when an organism can reproduce."
🙆🏿‍♀️,"woman gesturing OK: dark skin tone. woman gesturing OK: dark skin tone. dark skin tone, hand, ok, gesture, woman. A woman is a female human."
🤹🏼‍♀️,"woman juggling: medium-light skin tone. woman juggling: medium-light skin tone. multitask, juggling, medium-light skin tone, woman. A woman is a female human."
🏄🏾‍♀️,"woman surfing: medium-dark skin tone. woman surfing: medium-dark skin tone. medium-dark skin tone, woman, surfing. A woman is a female human."
🏂🏿,"snowboarder: dark skin tone. snowboarder: dark skin tone. ski, dark skin tone, snowboard, snow. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏂🏾,"snowboarder: medium-dark skin tone. snowboarder: medium-dark skin tone. ski, snowboard, medium-dark skin tone, snow. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏂🏽,"snowboarder: medium skin tone. snowboarder: medium skin tone. ski, snowboard, snow, medium skin tone. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏂🏼,"snowboarder: medium-light skin tone. snowboarder: medium-light skin tone. ski, snowboard, medium-light skin tone, snow. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏂🏻,"snowboarder: light skin tone. snowboarder: light skin tone. ski, light skin tone, snowboard, snow. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
👨🏽‍🎨,"man artist: medium skin tone. man artist: medium skin tone. artist, palette, medium skin tone, man. A person whose creative work shows sensitivity and imagination"
Ⓜ,"circled M. circled M. m, circle"
👨🏽‍🎤,"man singer: medium skin tone. man singer: medium skin tone. entertainer, singer, actor, star, rock, medium skin tone, man. Person who sings, is able to sing, or earns a living by singing."
👷🏿‍♀️,"woman construction worker: dark skin tone. woman construction worker: dark skin tone. dark skin tone, woman, worker, construction. A woman is a female human."
👩🏽‍⚖️,"woman judge: medium skin tone. woman judge: medium skin tone. judge, woman, scales, medium skin tone. A woman is a female human."
💆🏼‍♂️,"man getting massage: medium-light skin tone. man getting massage: medium-light skin tone. medium-light skin tone, face, massage, man. Part of the body at the front of the head"
🏊🏿‍♀️,"woman swimming: dark skin tone. woman swimming: dark skin tone. dark skin tone, swim, woman. A woman is a female human."
🤷‍♀️,"woman shrugging. woman shrugging. woman, indifference, shrug, ignorance, doubt. A woman is a female human."
🕵🏿‍♂️,"man detective: dark skin tone. man detective: dark skin tone. dark skin tone, sleuth, spy, detective, man"
👳‍♂️,"man wearing turban. man wearing turban. turban, man. Sexual maturity is the age or stage when an organism can reproduce."
👨‍👩‍👧,"family: man, woman, girl. family: man, woman, girl. family, woman, girl, man. A South Korean drama by SBS"
👨‍👩‍👦,"family: man, woman, boy. family: man, woman, boy. family, boy, woman, man. A woman is a female human."
💇🏼‍♀️,"woman getting haircut: medium-light skin tone. woman getting haircut: medium-light skin tone. medium-light skin tone, woman, haircut. A woman is a female human."
👮🏿,"police officer: dark skin tone. police officer: dark skin tone. dark skin tone, officer, police, cop. Any person in the armed services who holds a position of authority or command"
👮🏾,"police officer: medium-dark skin tone. police officer: medium-dark skin tone. officer, medium-dark skin tone, police, cop. Any person in the armed services who holds a position of authority or command"
👮🏽,"police officer: medium skin tone. police officer: medium skin tone. officer, police, medium skin tone, cop. Any person in the armed services who holds a position of authority or command"
👮🏼,"police officer: medium-light skin tone. police officer: medium-light skin tone. officer, medium-light skin tone, police, cop. Any person in the armed services who holds a position of authority or command"
👮🏻,"police officer: light skin tone. police officer: light skin tone. light skin tone, officer, police, cop. Any person in the armed services who holds a position of authority or command"
👨‍💼,"man office worker. man office worker. manager, business, office, architect, white-collar, man. A person who designs, as profession."
👨‍💻,"man technologist. man technologist. coder, developer, software, technologist, inventor, man. Someone who is the first to think of or make something."
🏃🏿,"person running: dark skin tone. person running: dark skin tone. dark skin tone, running, marathon. Young male human"
🏃🏾,"person running: medium-dark skin tone. person running: medium-dark skin tone. running, medium-dark skin tone, marathon. Young male human"
🏃🏽,"person running: medium skin tone. person running: medium skin tone. running, marathon, medium skin tone. Young male human"
🚴🏾‍♀️,"woman biking: medium-dark skin tone. woman biking: medium-dark skin tone. bicycle, cyclist, medium-dark skin tone, woman, biking. A woman is a female human."
🏃🏼,"person running: medium-light skin tone. person running: medium-light skin tone. running, medium-light skin tone, marathon. Young male human"
🏃🏻,"person running: light skin tone. person running: light skin tone. running, light skin tone, marathon. Young male human"
👨🏽‍✈️,"man pilot: medium skin tone. man pilot: medium skin tone. plane, pilot, medium skin tone, man. Person actively involved in flying an aircraft"
🙍🏻‍♂️,"man frowning: light skin tone. man frowning: light skin tone. light skin tone, frowning, gesture, man. Wrinkling of the brows or face."
⛹🏿‍♀️,"woman bouncing ball: dark skin tone. woman bouncing ball: dark skin tone. dark skin tone, woman, ball"
👩🏾‍💼,"woman office worker: medium-dark skin tone. woman office worker: medium-dark skin tone. manager, business, office, medium-dark skin tone, woman, architect, white-collar. A woman is a female human."
👩🏾‍💻,"woman technologist: medium-dark skin tone. woman technologist: medium-dark skin tone. coder, developer, software, medium-dark skin tone, woman, technologist, inventor. A woman is a female human."
👩‍🏭,"woman factory worker. woman factory worker. industrial, factory, assembly, woman, worker. A woman is a female human."
🤽🏾‍♂️,"man playing water polo: medium-dark skin tone. man playing water polo: medium-dark skin tone. medium-dark skin tone, water polo, man. A water sport consisting of two teams of swimmers who have to throw the ball into the opponents goal."
👩‍🏫,"woman teacher. woman teacher. instructor, professor, woman, teacher. A person who, or a thing which, educates"
🙆🏿‍♂️,"man gesturing OK: dark skin tone. man gesturing OK: dark skin tone. dark skin tone, hand, ok, gesture, man. That part of the fore limb below the forearm or wrist in primates (including humans)."
👩🏿‍🏭,"woman factory worker: dark skin tone. woman factory worker: dark skin tone. industrial, dark skin tone, factory, assembly, woman, worker. A woman is a female human."
👩🏿‍🏫,"woman teacher: dark skin tone. woman teacher: dark skin tone. instructor, dark skin tone, professor, woman, teacher. A person who, or a thing which, educates"
🤹🏼‍♂️,"man juggling: medium-light skin tone. man juggling: medium-light skin tone. multitask, juggling, medium-light skin tone, man. Juggling is a physical skill, performed by a juggler, involving the manipulation of objects for recreation, entertainment, art, or sport."
🙎🏻‍♀️,"woman pouting: light skin tone. woman pouting: light skin tone. light skin tone, pouting, gesture, woman. A woman is a female human."
🤾🏾‍♀️,"woman playing handball: medium-dark skin tone. woman playing handball: medium-dark skin tone. medium-dark skin tone, woman, handball. A woman is a female human."
👨🏽‍🎓,"man student: medium skin tone. man student: medium skin tone. graduate, student, medium skin tone, man. A student under the supervision of a teacher or professor."
👨🏻‍⚕️,"man health worker: light skin tone. man health worker: light skin tone. light skin tone, doctor, nurse, healthcare, therapist, man. Someone who practices medicine"
🏄🏿,"person surfing: dark skin tone. person surfing: dark skin tone. dark skin tone, surfing. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏄🏾,"person surfing: medium-dark skin tone. person surfing: medium-dark skin tone. medium-dark skin tone, surfing. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏄🏽,"person surfing: medium skin tone. person surfing: medium skin tone. surfing, medium skin tone. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏄🏼,"person surfing: medium-light skin tone. person surfing: medium-light skin tone. medium-light skin tone, surfing. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏄🏻,"person surfing: light skin tone. person surfing: light skin tone. light skin tone, surfing. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🙅🏽‍♀️,"woman gesturing NO: medium skin tone. woman gesturing NO: medium skin tone. hand, forbidden, gesture, woman, prohibited, no, medium skin tone. A woman is a female human."
👨‍❤️‍💋‍👨,"kiss: man, man. kiss: man, man. couple, man. A similar kind, ""we don't want the likes of you around here"""
💂🏽‍♀️,"woman guard: medium skin tone. woman guard: medium skin tone. woman, guard, medium skin tone. A woman is a female human."
👷🏿‍♂️,"man construction worker: dark skin tone. man construction worker: dark skin tone. dark skin tone, worker, man, construction. Tradesman, labourer, or professional employed in the physical construction of the built environment"
👩‍⚕️,"woman health worker. woman health worker. doctor, nurse, healthcare, woman, therapist. A woman is a female human."
👩‍🎨,"woman artist. woman artist. artist, palette, woman. A woman is a female human."
👁️‍🗨️,"eye in speech bubble. eye in speech bubble. eye, witness, speech bubble. An organ of vision that detects light"
👩‍🎤,"woman singer. woman singer. entertainer, singer, actor, woman, star, rock. Person who sings, is able to sing, or earns a living by singing."
👨🏽‍🍳,"man cook: medium skin tone. man cook: medium skin tone. cook, chef, medium skin tone, man. Person who cooks professionally for other people"
🏃🏼‍♀️,"woman running: medium-light skin tone. woman running: medium-light skin tone. racing, running, medium-light skin tone, woman, marathon. A woman is a female human."
🉑,"Japanese “acceptable” button. Japanese “acceptable” button. japanese, ?, “acceptable”, ideograph. Language"
🉐,"Japanese “bargain” button. Japanese “bargain” button. japanese, ?, “bargain”, ideograph. Language"
👩🏿‍🎨,"woman artist: dark skin tone. woman artist: dark skin tone. dark skin tone, artist, palette, woman. A woman is a female human."
👩🏿‍🎤,"woman singer: dark skin tone. woman singer: dark skin tone. dark skin tone, entertainer, singer, actor, woman, star, rock. Person who sings, is able to sing, or earns a living by singing."
🏊🏿‍♂️,"man swimming: dark skin tone. man swimming: dark skin tone. dark skin tone, swim, man. Sexual maturity is the age or stage when an organism can reproduce."
🈺,"Japanese “open for business” button. Japanese “open for business” button. japanese, ?, “open for business”, ideograph. The modern stage of the Japanese language, usually dated from around 1600."
🈹,"Japanese “discount” button. Japanese “discount” button. japanese, ?, “discount”, ideograph. Logograms used in the writing of Chinese and Japanese"
🈸,"Japanese “application” button. Japanese “application” button. japanese, ?, “application”, ideograph. Language"
🈷,"Japanese “monthly amount” button. Japanese “monthly amount” button. “monthly amount”, japanese, ?, ideograph. A graphic character that indicates the meaning of a thing without indicating the sounds used to say it"
🈶,"Japanese “not free of charge” button. Japanese “not free of charge” button. “not free of charge”, japanese, ?, ideograph. Language"
🈵,"Japanese “no vacancy” button. Japanese “no vacancy” button. “no vacancy”, japanese, ?, ideograph. Logograms used in the writing of Chinese and Japanese"
💇🏼‍♂️,"man getting haircut: medium-light skin tone. man getting haircut: medium-light skin tone. medium-light skin tone, man, haircut. Way hair is cut."
🈴,"Japanese “passing grade” button. Japanese “passing grade” button. japanese, ?, ideograph, “passing grade”. Logograms used in the writing of Chinese and Japanese"
🈳,"Japanese “vacancy” button. Japanese “vacancy” button. japanese, ?, “vacancy”, ideograph. Logograms used in the writing of Chinese and Japanese"
👨🏻‍⚖️,"man judge: light skin tone. man judge: light skin tone. light skin tone, justice, scales, man. Judges are officials who presides over a court of law, either alone or as part of a panel, and make determinations about the applicability of the law to the facts presented."
🈲,"Japanese “prohibited” button. Japanese “prohibited” button. japanese, ?, “prohibited”, ideograph. Logograms used in the writing of Chinese and Japanese"
🈯,"Japanese “reserved” button. Japanese “reserved” button. japanese, ?, “reserved”, ideograph. Language"
🚣🏿‍♀️,"woman rowing boat: dark skin tone. woman rowing boat: dark skin tone. dark skin tone, rowboat, woman, boat. A woman is a female human."
